Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.51 (0.51-0.51),0.47 (0.47-0.47),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Random Forest,0.98 (0.98-0.98),0.40 (0.40-0.40),0.8916666666666667,0.0,0.978021978021978,1.0,0.963963963963964,0.0,0.9319371727748691,0.7157894736842105
SVM,0.48 (0.48-0.48),0.50 (0.50-0.50),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.67 (0.67-0.67),0.40 (0.40-0.40),0.55,0.25925925925925924,0.6813186813186813,0.6029411764705882,0.532258064516129,0.20588235294117646,0.6966292134831461,0.6721311475409836
