Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.60 (0.60-0.60),0.43 (0.43-0.43),0.175,0.07407407407407407,0.945054945054945,0.9558823529411765,0.6774193548387096,0.4,0.6346863468634686,0.7222222222222222
Random Forest,0.98 (0.98-0.98),0.47 (0.47-0.47),0.8916666666666667,0.0,0.945054945054945,1.0,0.9145299145299145,0.0,0.9297297297297298,0.7157894736842105
SVM,0.51 (0.51-0.51),0.40 (0.40-0.40),0.11666666666666667,0.037037037037037035,0.9560439560439561,0.9558823529411765,0.6363636363636364,0.25,0.6214285714285714,0.7142857142857143
Naive Bayes,0.57 (0.57-0.57),0.49 (0.49-0.49),0.2,0.1111111111111111,0.8681318681318682,0.8970588235294118,0.5,0.3,0.6220472440944882,0.7176470588235294
