Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.62 (0.62-0.62),0.49 (0.49-0.49),0.25,0.18518518518518517,0.7967032967032966,0.7941176470588235,0.44776119402985076,0.2631578947368421,0.6170212765957447,0.7105263157894737
Random Forest,0.99 (0.99-0.99),0.40 (0.40-0.40),0.8916666666666667,0.0,0.9505494505494505,0.8676470588235294,0.9224137931034483,0.0,0.9301075268817204,0.686046511627907
SVM,0.56 (0.56-0.56),0.42 (0.42-0.42),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.64 (0.64-0.64),0.50 (0.50-0.50),0.875,0.7777777777777778,0.25274725274725274,0.22058823529411764,0.43568464730290457,0.28378378378378377,0.7540983606557377,0.7142857142857143
