Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.60 (0.60-0.60),0.50 (0.50-0.50),0.175,0.222222222,0.846153846,0.779411765,0.428571429,0.285714286,0.608695652,0.716216216
Random Forest,0.99 (0.99-0.99),0.39 (0.39-0.39),0.891666667,0,0.956043956,0.911764706,0.930434783,0,0.930481283,0.696629213
SVM,0.57 (0.57-0.57),0.40 (0.40-0.40),0,0,1,1,0,0,0.602649007,0.715789474
Naive Bayes,0.64 (0.64-0.64),0.50 (0.50-0.50),0.9,0.814814815,0.241758242,0.220588235,0.43902439,0.293333333,0.785714286,0.75
