Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.54 (0.54-0.54),0.47 (0.47-0.47),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Random Forest,0.98 (0.98-0.98),0.43 (0.43-0.43),0.8916666666666667,0.0,0.9560439560439561,0.9852941176470589,0.9304347826086956,0.0,0.93048128342246,0.7127659574468085
SVM,0.45 (0.45-0.45),0.48 (0.48-0.48),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.65 (0.65-0.65),0.37 (0.37-0.37),0.5666666666666667,0.25925925925925924,0.6813186813186813,0.6176470588235294,0.5396825396825397,0.21212121212121213,0.7045454545454546,0.6774193548387096
