Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.61 (0.61-0.61),0.50 (0.50-0.50),0.26666666666666666,0.2222222222222222,0.7582417582417582,0.7647058823529411,0.42105263157894735,0.2727272727272727,0.6106194690265486,0.7123287671232876
Random Forest,0.98 (0.98-0.98),0.41 (0.41-0.41),0.8916666666666667,0.0,0.967032967032967,0.8970588235294118,0.9469026548672567,0.0,0.9312169312169312,0.6931818181818182
SVM,0.57 (0.57-0.57),0.40 (0.40-0.40),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.64 (0.64-0.64),0.50 (0.50-0.50),0.9,0.7777777777777778,0.24725274725274726,0.22058823529411764,0.44081632653061226,0.28378378378378377,0.7894736842105263,0.7142857142857143
