Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.52 (0.52-0.52),0.46 (0.46-0.46),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Random Forest,0.98 (0.98-0.98),0.42 (0.42-0.42),0.8916666666666667,0.037037037037037035,0.9835164835164835,0.9705882352941176,0.9727272727272728,0.3333333333333333,0.9322916666666666,0.717391304347826
SVM,0.48 (0.48-0.48),0.49 (0.49-0.49),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.67 (0.67-0.67),0.40 (0.40-0.40),0.55,0.25925925925925924,0.6703296703296703,0.6029411764705882,0.5238095238095238,0.20588235294117646,0.6931818181818182,0.6721311475409836
