Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.61 (0.61-0.61),0.50 (0.50-0.50),0.2,0.2222222222222222,0.8241758241758241,0.7794117647058824,0.42857142857142855,0.2857142857142857,0.6097560975609756,0.7162162162162162
Random Forest,0.99 (0.99-0.99),0.39 (0.39-0.39),0.8916666666666667,0.0,0.945054945054945,0.9117647058823529,0.9145299145299145,0.0,0.9297297297297298,0.6966292134831461
SVM,0.58 (0.58-0.58),0.42 (0.42-0.42),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.64 (0.64-0.64),0.50 (0.50-0.50),0.9,0.8148148148148148,0.24175824175824176,0.22058823529411764,0.43902439024390244,0.29333333333333333,0.7857142857142857,0.75
