Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.63 (0.63-0.63),0.49 (0.49-0.49),0.25,0.2222222222222222,0.7802197802197802,0.7794117647058824,0.42857142857142855,0.2857142857142857,0.6120689655172413,0.7162162162162162
Random Forest,0.98 (0.98-0.98),0.42 (0.42-0.42),0.8916666666666667,0.0,0.9560439560439561,0.9264705882352942,0.9304347826086956,0.0,0.93048128342246,0.7
SVM,0.58 (0.58-0.58),0.42 (0.42-0.42),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.64 (0.64-0.64),0.49 (0.49-0.49),0.8416666666666667,0.7777777777777778,0.27472527472527475,0.23529411764705882,0.4334763948497854,0.2876712328767123,0.7246376811594203,0.7272727272727273
