Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.60 (0.60-0.60),0.43 (0.43-0.43),0.15833333333333333,0.037037037037037035,0.945054945054945,0.9411764705882353,0.6551724137931034,0.2,0.63003663003663,0.7111111111111111
Random Forest,0.98 (0.98-0.98),0.48 (0.48-0.48),0.8916666666666667,0.0,0.967032967032967,0.9852941176470589,0.9469026548672567,0.0,0.9312169312169312,0.7127659574468085
SVM,0.60 (0.60-0.60),0.44 (0.44-0.44),0.041666666666666664,0.037037037037037035,0.9945054945054945,1.0,0.8333333333333334,1.0,0.6114864864864865,0.723404255319149
Naive Bayes,0.64 (0.64-0.64),0.37 (0.37-0.37),0.6,0.3333333333333333,0.6208791208791209,0.6176470588235294,0.5106382978723404,0.2571428571428571,0.7018633540372671,0.7
