Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.57 (0.57-0.57),0.64 (0.64-0.64),0.09166666666666666,0.1111111111111111,0.9230769230769231,0.9852941176470589,0.44,0.75,0.6064981949458483,0.7362637362637363
Random Forest,0.99 (0.99-0.99),0.50 (0.50-0.50),0.8916666666666667,0.0,0.978021978021978,0.9852941176470589,0.963963963963964,0.0,0.9319371727748691,0.7127659574468085
SVM,0.58 (0.58-0.58),0.36 (0.36-0.36),0.0,0.0,0.9835164835164835,1.0,0.0,0.0,0.5986622073578596,0.7157894736842105
Naive Bayes,0.58 (0.58-0.58),0.61 (0.61-0.61),0.49166666666666664,0.48148148148148145,0.6428571428571429,0.7794117647058824,0.47580645161290325,0.4642857142857143,0.6573033707865169,0.7910447761194029
