Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.55 (0.55-0.55),0.46 (0.46-0.46),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Random Forest,0.98 (0.98-0.98),0.39 (0.39-0.39),0.8916666666666667,0.0,0.9615384615384616,1.0,0.9385964912280702,0.0,0.9308510638297872,0.7157894736842105
SVM,0.43 (0.43-0.43),0.51 (0.51-0.51),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.65 (0.65-0.65),0.37 (0.37-0.37),0.5583333333333333,0.25925925925925924,0.6758241758241759,0.6323529411764706,0.5317460317460317,0.21875,0.6988636363636364,0.6825396825396826
