Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.63 (0.63-0.63),0.50 (0.50-0.50),0.25833333333333336,0.2222222222222222,0.8131868131868132,0.7647058823529411,0.47692307692307695,0.2727272727272727,0.6244725738396625,0.7123287671232876
Random Forest,0.99 (0.99-0.99),0.43 (0.43-0.43),0.8916666666666667,0.0,0.9505494505494505,0.9264705882352942,0.9224137931034483,0.0,0.9301075268817204,0.7
SVM,0.56 (0.56-0.56),0.44 (0.44-0.44),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.64 (0.64-0.64),0.51 (0.51-0.51),0.9,0.7777777777777778,0.24725274725274726,0.22058823529411764,0.44081632653061226,0.28378378378378377,0.7894736842105263,0.7142857142857143
