Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.49 (0.49-0.49),0.45 (0.45-0.45),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Random Forest,0.98 (0.98-0.98),0.36 (0.36-0.36),0.8916666666666667,0.0,0.9725274725274725,0.9852941176470589,0.9553571428571429,0.0,0.9315789473684211,0.7127659574468085
SVM,0.53 (0.53-0.53),0.45 (0.45-0.45),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.67 (0.67-0.67),0.39 (0.39-0.39),0.525,0.2222222222222222,0.6868131868131868,0.6176470588235294,0.525,0.1875,0.6868131868131868,0.6666666666666666
