Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.34 (0.34-0.34),0.39 (0.39-0.39),0.0,0.0,1.0,1.0,0.0,0.0,0.8272727272727273,0.7157894736842105
Random Forest,0.42 (0.42-0.42),0.59 (0.59-0.59),0.0,0.07407407407407407,0.9395604395604396,0.9852941176470589,0.0,0.6666666666666666,0.8181818181818182,0.7282608695652174
SVM,0.45 (0.45-0.45),0.51 (0.51-0.51),0.0,0.0,1.0,1.0,0.0,0.0,0.8272727272727273,0.7157894736842105
Naive Bayes,0.41 (0.41-0.41),0.60 (0.60-0.60),0.02631578947368421,0.1111111111111111,0.9395604395604396,0.9705882352941176,0.08333333333333333,0.6,0.8221153846153846,0.7333333333333333
