Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.60 (0.60-0.60),0.41 (0.41-0.41),0.14166666666666666,0.037037037037037035,0.945054945054945,0.9411764705882353,0.6296296296296297,0.2,0.6254545454545455,0.7111111111111111
Random Forest,0.98 (0.98-0.98),0.49 (0.49-0.49),0.8916666666666667,0.0,0.9505494505494505,1.0,0.9224137931034483,0.0,0.9301075268817204,0.7157894736842105
SVM,0.60 (0.60-0.60),0.46 (0.46-0.46),0.03333333333333333,0.037037037037037035,0.9945054945054945,1.0,0.8,1.0,0.6094276094276094,0.723404255319149
Naive Bayes,0.65 (0.65-0.65),0.39 (0.39-0.39),0.6,0.2222222222222222,0.6593406593406593,0.6176470588235294,0.5373134328358209,0.1875,0.7142857142857143,0.6666666666666666
