Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.51 (0.51-0.51),0.45 (0.45-0.45),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Random Forest,0.98 (0.98-0.98),0.43 (0.43-0.43),0.8916666666666667,0.0,0.978021978021978,0.9852941176470589,0.963963963963964,0.0,0.9319371727748691,0.7127659574468085
SVM,0.53 (0.53-0.53),0.50 (0.50-0.50),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.66 (0.66-0.66),0.38 (0.38-0.38),0.5416666666666666,0.2222222222222222,0.6868131868131868,0.6176470588235294,0.5327868852459017,0.1875,0.6944444444444444,0.6666666666666666
