Model,AUC Train,AUC Test,Sensitivity Train,Sensitivity Test,Specificity Train,Specificity Test,PPV Train,PPV Test,NPV Train,NPV Test
Logistic Regression,0.63 (0.63-0.63),0.50 (0.50-0.50),0.25833333333333336,0.2222222222222222,0.8076923076923077,0.7647058823529411,0.4696969696969697,0.2727272727272727,0.6228813559322034,0.7123287671232876
Random Forest,0.99 (0.99-0.99),0.42 (0.42-0.42),0.8916666666666667,0.0,0.9395604395604396,0.9117647058823529,0.9067796610169492,0.0,0.9293478260869565,0.6966292134831461
SVM,0.58 (0.58-0.58),0.41 (0.41-0.41),0.0,0.0,1.0,1.0,0.0,0.0,0.6026490066225165,0.7157894736842105
Naive Bayes,0.64 (0.64-0.64),0.50 (0.50-0.50),0.875,0.7777777777777778,0.25274725274725274,0.22058823529411764,0.43568464730290457,0.28378378378378377,0.7540983606557377,0.7142857142857143
